,types
cell_reporter_status,object
csl__normalized_depth,float64
csl__x,float64
csl__y,float64
csl__z,float64
donor__age,object
donor__disease_state,object
donor__id,int64
donor__name,object
donor__race,object
donor__sex,object
donor__species,object
donor__years_of_seizure_history,object
ef__adaptation,float64
ef__avg_firing_rate,float64
ef__avg_isi,float64
ef__f_i_curve_slope,float64
ef__fast_trough_v_long_square,float64
ef__peak_t_ramp,float64
ef__ri,float64
ef__tau,float64
ef__threshold_i_long_square,float64
ef__upstroke_downstroke_ratio_long_square,float64
ef__vrest,float64
ephys_inst_thresh_thumb_path,object
ephys_thumb_path,object
erwkf__id,int64
line_name,object
m__biophys,int64
m__biophys_all_active,int64
m__biophys_perisomatic,int64
m__glif,int64
morph_thumb_path,object
nr__average_contraction,float64
nr__average_parent_daughter_ratio,float64
nr__max_euclidean_distance,float64
nr__number_bifurcations,float64
nr__number_stems,float64
nr__reconstruction_type,object
nrwkf__id,float64
si__height,float64
si__path,object
si__width,float64
specimen__hemisphere,object
Cell_id,object
specimen__name,object
structure__acronym,object
structure__id,int64
structure__layer,object
structure__name,object
structure_parent__acronym,object
structure_parent__id,int64
tag__apical,object
tag__dendrite_type,object
